FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
6021,0.040,0.030,0.038,0.069,0.241,0.028,0.075,0.001,0.800,0.324,0.089,46.2,6
6023,0.071,0.008,0.027,0.035,0.327,0.136,0.021,0.000,0.934,0.560,0.089,44.2,5
6025,0.121,0.012,0.074,0.087,0.223,0.181,0.146,0.003,0.964,0.679,0.089,58,3
6027,0.024,0.002,0.044,0.046,0.369,0.018,0.063,0.002,0.947,0.390,0.089,44.6,7
6029,0.111,0.046,0.050,0.098,0.231,0.9,0.108,0.001,0.845,0.404,0.089,46.3,2
6031,0.118,0.036,0.049,0.087,0.234,0.153,0.139,0.001,0.860,0.402,0.089,47.5,3
6033,0.068,0.015,0.066,0.082,0.258,0.064,0.045,0.001,0.985,0.469,0.089,44.6,4
6035,0.043,0.009,0.011,0.021,0.172,0.031,0.178,0.001,0.707,0.211,0.089,34.1,7
6037,0.099,0.015,0.046,0.061,0.644,10.039,0.114,0.002,0.917,0.718,0.089,51.5,1
6039,0.086,0.039,0.053,0.094,0.28,0.157,0.094,0.001,0.875,0.395,0.089,42.7,3
6041,0.103,-0.014,0.026,0.011,1.169,0.259,0.049,0.001,0.943,0.781,0.089,49.9,1
6043,0.025,0.011,0.027,0.039,0.304,0.017,0.022,0.000,0.847,0.352,0.089,42.3,8
6045,0.136,-0.049,0.023,-0.028,0.396,0.087,0.042,0.000,0.992,0.589,0.089,45.5,4
6047,0.116,0.016,0.081,0.098,0.277,0.278,0.098,0.001,0.849,0.527,0.089,48.6,2
6049,0.014,-0.002,0.025,0.023,0.134,0.009,0.049,0.000,0.819,0.232,0.089,33.3,6
6051,0.030,0.017,0.052,0.070,0.467,0.014,0.082,0.000,0.950,0.526,0.089,32.4,7
6053,0.096,0.015,0.067,0.083,0.606,0.434,0.093,0.001,0.904,0.668,0.089,48.8,2
6055,0.093,-0.016,0.065,0.049,0.703,0.138,0.063,0.000,0.922,0.639,0.089,48.1,3
6057,0.151,-0.009,0.043,0.034,0.475,0.1,0.036,0.001,0.859,0.474,0.089,39.4,4
6059,0.081,0.010,0.029,0.040,0.744,3.176,0.079,0.001,0.910,0.509,0.089,57.2,1
6061,0.088,0.033,0.038,0.073,0.521,0.398,0.047,0.001,0.894,0.402,0.089,40.9,1
6063,0.030,0.007,0.022,0.029,0.278,0.019,0.034,0.000,0.817,0.357,0.089,35.2,7
6065,0.098,0.033,0.051,0.085,0.401,2.471,0.113,0.001,0.919,0.497,0.089,53.9,1
6067,0.113,0.042,0.044,0.088,0.391,1.552,0.057,0.001,0.886,0.583,0.089,48.9,1
6069,0.078,-0.015,0.114,0.098,0.626,0.063,0.088,0.001,0.914,0.571,0.089,46.7,1
6071,0.110,0.032,0.052,0.087,0.369,2.18,0.127,0.001,0.902,0.521,0.089,50.2,1
6073,0.125,0.021,0.037,0.059,0.603,3.338,0.074,0.001,0.926,0.563,0.089,53.4,1
6075,-0.026,0.020,0.073,0.094,1.439,0.882,0.037,0.000,0.938,0.850,0.089,51.2,1
6077,0.114,0.019,0.074,0.095,0.379,0.762,0.083,0.001,0.845,0.540,0.089,49.7,2
6079,0.071,0.015,0.026,0.041,0.629,0.283,0.065,0.001,0.914,0.497,0.089,49,2
6081,0.040,-0.023,0.064,0.040,1.363,0.767,0.048,0.001,0.912,0.757,0.089,50.5,1
6083,0.087,0.017,0.036,0.054,0.651,0.446,0.067,0.001,0.890,0.606,0.089,50.6,2
6085,0.152,-0.063,0.070,0.003,1.121,1.928,0.055,0.001,0.932,0.727,0.089,47.4,1
6087,0.105,-0.011,0.042,0.030,0.847,0.273,0.051,0.001,0.906,0.739,0.089,50.4,2
6089,0.093,0.046,0.040,0.088,0.282,0.18,0.059,0.001,0.779,0.279,0.089,40.6,3
6091,0.036,0.013,0.044,0.057,0.243,0.003,0.032,0.000,0.760,0.328,0.089,35.6,8
6093,0.028,0.013,0.027,0.040,0.216,0.044,0.037,0.000,0.713,0.353,0.089,35.7,6
6095,0.079,0.005,0.066,0.072,0.448,0.448,0.064,0.000,0.876,0.616,0.089,49.1,2
6097,0.089,-0.026,0.033,0.006,0.635,0.494,0.054,0.001,0.944,0.694,0.089,49.1,2
6099,0.104,0.039,0.066,0.107,0.333,0.551,0.096,0.002,0.878,0.474,0.089,48.5,2
6101,0.069,0.047,0.056,0.106,0.327,0.097,0.088,0.001,0.832,0.390,0.089,48.1,3
6103,0.060,0.073,-0.019,0.053,0.24,0.065,0.074,0.001,0.740,0.285,0.089,44.5,4
6105,0.020,0.004,0.006,0.010,0.286,0.012,0.025,0.000,0.793,0.389,0.089,39.6,8
6107,0.126,0.025,0.076,0.103,0.225,0.466,0.098,0.001,0.821,0.424,0.089,40.3,2
6109,-0.009,0.000,0.011,0.010,0.306,0.054,0.067,0.001,0.865,0.357,0.089,38.8,4
6111,0.070,0.012,0.033,0.045,0.615,0.846,0.087,0.001,0.933,0.553,0.089,49.4,2
6113,0.102,-0.013,0.059,0.045,0.45,0.221,0.055,0.001,0.947,0.667,0.089,48.6,1
6115,0.094,0.067,0.059,0.130,0.285,0.079,0.069,0.000,0.836,0.344,0.089,46.7,3
8001,0.092,0.009,0.083,0.093,0.377,0.517,0.090,0.001,0.870,0.499,0.086,33.3,1
8003,0.023,0.019,0.031,0.051,0.186,0.016,0.074,0.002,0.721,0.460,0.086,18.5,7
8005,0.080,0.022,0.056,0.079,0.407,0.657,0.070,0.001,0.896,0.528,0.086,33,1
8007,0.041,0.045,0.068,0.117,0.327,0.014,0.044,0.000,0.764,0.341,0.086,24.8,7
8009,0.048,0.040,0.052,0.094,0.088,0.004,0.075,0.001,0.641,0.131,0.086,35.6,9
8011,0.089,0.030,0.073,0.106,0.069,0.006,0.238,0.004,0.758,0.306,0.086,35.3,7
8013,0.057,0.018,0.054,0.073,0.566,0.326,0.054,0.001,0.945,0.703,0.086,29.8,2
8014,0.063,0.010,0.085,0.096,0.477,0.07,0.050,0.001,0.935,0.524,0.086,34.6,1
8015,0.049,0.045,0.064,0.111,0.39,0.02,0.066,0.001,0.783,0.434,0.086,19.7,7
8017,0.017,0.052,0.057,0.112,0.101,0.002,0.068,0.003,0.690,0.120,0.086,34.2,9
8019,0.045,0.048,0.069,0.120,0.39,0.01,0.036,0.000,0.846,0.465,0.086,22.5,1
8021,0.045,0.031,0.042,0.074,0.136,0.008,0.051,0.000,0.740,0.440,0.086,19.6,9
8023,0.069,0.044,0.074,0.121,0.11,0.004,0.046,0.001,0.819,0.609,0.086,23,9
8025,0.029,0.063,0.090,0.158,0.073,0.006,0.311,0.002,0.884,0.222,0.086,33.5,8
8027,0.073,0.033,0.068,0.103,0.245,0.005,0.032,0.000,0.732,0.260,0.086,25.2,8
8029,0.042,0.024,0.039,0.064,0.255,0.031,0.076,0.002,0.745,0.243,0.086,25.2,6
8031,0.067,0.001,0.085,0.086,0.462,0.727,0.078,0.001,0.901,0.737,0.086,34.7,1
8033,0.004,-0.008,0.052,0.044,0.161,0.002,0.031,0.000,0.843,0.193,0.086,25.5,9
8035,0.082,0.016,0.044,0.061,0.529,0.351,0.056,0.001,0.865,0.366,0.086,31.7,1
8037,0.010,0.017,0.062,0.081,0.695,0.055,0.083,0.000,0.956,0.559,0.086,20.6,5
8039,0.046,0.044,0.076,0.123,0.542,0.027,0.045,0.000,0.751,0.196,0.086,31.2,1
8041,0.135,0.060,0.073,0.137,0.318,0.72,0.068,0.001,0.799,0.339,0.086,32.2,2
8043,0.045,0.048,0.064,0.115,0.237,0.048,0.109,0.001,0.863,0.241,0.086,28.6,4
8045,0.077,0.022,0.063,0.086,0.422,0.06,0.082,0.001,0.858,0.426,0.086,23.4,5
8047,0.047,0.043,0.080,0.126,0.373,0.006,0.025,0.000,0.955,0.457,0.086,25.2,1
8049,0.022,0.044,0.107,0.157,0.453,0.016,0.069,0.000,0.941,0.391,0.086,19.1,7
8051,0.050,0.036,0.062,0.100,0.394,0.017,0.062,0.000,0.862,0.545,0.086,17.8,7
8053,0.035,-0.022,0.020,-0.003,0.358,0.001,0.020,0.000,0.790,0.334,0.086,19.4,9
